"Name","Rank","TID","HexColor","FrameLabel","RankIconTextField","RankIconTID","BannerFileName","BannerExportName"
"string","int","string","string","string","string","string","string","string"
"ClubBronze1",1,"TID_CLUB_LEAGUE_BRONZE_I","0xFFFF9900","bronze","rank_bronze_text","TID_CLUB_LEAGUE_TIER_1","sc/ui.sc","club_league_banner_bronze"
"ClubBronze2",2,"TID_CLUB_LEAGUE_BRONZE_II","0xFFFF9900","bronze","rank_bronze_text","TID_CLUB_LEAGUE_TIER_2","sc/ui.sc","club_league_banner_bronze"
"ClubBronze3",3,"TID_CLUB_LEAGUE_BRONZE_III","0xFFFF9900","bronze","rank_bronze_text","TID_CLUB_LEAGUE_TIER_3","sc/ui.sc","club_league_banner_bronze"
"ClubSilver1",4,"TID_CLUB_LEAGUE_SILVER_I","0xFFC9C6F1","silver","rank_silver_text","TID_CLUB_LEAGUE_TIER_1","sc/ui.sc","club_league_banner_silver"
"ClubSilver2",5,"TID_CLUB_LEAGUE_SILVER_II","0xFFC9C6F1","silver","rank_silver_text","TID_CLUB_LEAGUE_TIER_2","sc/ui.sc","club_league_banner_silver"
"ClubSilver3",6,"TID_CLUB_LEAGUE_SILVER_III","0xFFC9C6F1","silver","rank_silver_text","TID_CLUB_LEAGUE_TIER_3","sc/ui.sc","club_league_banner_silver"
"ClubGold1",7,"TID_CLUB_LEAGUE_GOLD_I","0xFFFFEF49","gold","rank_gold_text","TID_CLUB_LEAGUE_TIER_1","sc/ui.sc","club_league_banner_gold"
"ClubGold2",8,"TID_CLUB_LEAGUE_GOLD_II","0xFFFFEF49","gold","rank_gold_text","TID_CLUB_LEAGUE_TIER_2","sc/ui.sc","club_league_banner_gold"
"ClubGold3",9,"TID_CLUB_LEAGUE_GOLD_III","0xFFFFEF49","gold","rank_gold_text","TID_CLUB_LEAGUE_TIER_3","sc/ui.sc","club_league_banner_gold"
"ClubDiamond1",10,"TID_CLUB_LEAGUE_DIAMOND_I","0xFF33FFFF","diamond","rank_diamond_text","TID_CLUB_LEAGUE_TIER_1","sc/ui.sc","club_league_banner_diamond"
"ClubDiamond2",11,"TID_CLUB_LEAGUE_DIAMOND_II","0xFF33FFFF","diamond","rank_diamond_text","TID_CLUB_LEAGUE_TIER_2","sc/ui.sc","club_league_banner_diamond"
"ClubDiamond3",12,"TID_CLUB_LEAGUE_DIAMOND_III","0xFF33FFFF","diamond","rank_diamond_text","TID_CLUB_LEAGUE_TIER_3","sc/ui.sc","club_league_banner_diamond"
"ClubMythic1",13,"TID_CLUB_LEAGUE_MYTHIC_I","0xFFFF00FF","mythic","rank_mythic_text","TID_CLUB_LEAGUE_TIER_1","sc/ui.sc","club_league_banner_mythic"
"ClubMythic2",14,"TID_CLUB_LEAGUE_MYTHIC_II","0xFFFF00FF","mythic","rank_mythic_text","TID_CLUB_LEAGUE_TIER_2","sc/ui.sc","club_league_banner_mythic"
"ClubMythic3",15,"TID_CLUB_LEAGUE_MYTHIC_III","0xFFFF00FF","mythic","rank_mythic_text","TID_CLUB_LEAGUE_TIER_3","sc/ui.sc","club_league_banner_mythic"
"ClubLegendary1",16,"TID_CLUB_LEAGUE_LEGENDARY_I","0xFFF75363","legendary","rank_legendary_text","TID_CLUB_LEAGUE_TIER_1","sc/ui.sc","club_league_banner_legendary"
"ClubLegendary2",17,"TID_CLUB_LEAGUE_LEGENDARY_II","0xFFF75363","legendary","rank_legendary_text","TID_CLUB_LEAGUE_TIER_2","sc/ui.sc","club_league_banner_legendary"
"ClubLegendary3",18,"TID_CLUB_LEAGUE_LEGENDARY_III","0xFFF75363","legendary","rank_legendary_text","TID_CLUB_LEAGUE_TIER_3","sc/ui.sc","club_league_banner_legendary"
"ClubMasters",19,"TID_CLUB_LEAGUE_MASTERS","0xFFFFFFFF","masters",,,"sc/ui.sc","club_league_banner_masters"
